business_type,investment,market_demand,competition,experience,operating_cost,target_market,risk_level
Education,200000,High,High,Medium,16240.75,Large,Medium Risk
Manufacturing,200000,Low,High,Low,38879.95,Medium,High Risk
Technology,50000,Low,Low,Low,7747.56,Small,High Risk
Food & Beverage,100000,Medium,High,Medium,22198.81,Large,Low Risk
Manufacturing,1500000,Low,High,High,317519.2,Small,High Risk
Services,1000000,Low,High,Low,182504.46,Medium,High Risk
Technology,500000,Low,Medium,Low,109228.48,Medium,High Risk
Education,1000000,Medium,Medium,High,218906.77,Small,Medium Risk
Food & Beverage,300000,Medium,High,Medium,31559.95,Small,High Risk
E-commerce,100000,High,Low,Medium,7317.38,Large,Low Risk
Retail,1000000,Medium,Low,Medium,183768.25,Small,High Risk
E-commerce,100000,Medium,Low,Medium,20215.7,Medium,Medium Risk
Education,750000,Low,High,Low,103400.48,Large,High Risk
Services,200000,High,Low,Medium,40222.05,Small,Medium Risk
Fashion & Clothing,750000,Medium,Low,High,158718.06,Small,Medium Risk
Services,200000,High,Medium,High,45843.65,Large,Low Risk
Technology,25000,Medium,Medium,Low,3012.84,Large,Medium Risk
Retail,300000,High,Medium,Low,25097.46,Small,Medium Risk
Services,25000,Low,Medium,Low,4731.52,Large,Medium Risk
Retail,25000,High,Medium,Low,2975.36,Small,Medium Risk
E-commerce,50000,Medium,Medium,Medium,8426.97,Large,Low Risk
Education,500000,Medium,Medium,Medium,78577.47,Small,High Risk
Retail,500000,High,High,Low,47024.1,Medium,Medium Risk
Fashion & Clothing,750000,Low,High,Medium,178009.5,Small,High Risk
E-commerce,1500000,Low,High,High,152382.49,Medium,High Risk
Retail,50000,High,High,Medium,11326.36,Large,Medium Risk
Retail,1500000,Medium,High,High,341125.93,Small,High Risk
Fashion & Clothing,200000,High,Medium,Low,14058.86,Large,Medium Risk
Retail,50000,Low,Medium,Medium,9019.61,Small,Medium Risk
Fashion & Clothing,1000000,High,High,Medium,68734.95,Large,Medium Risk
Technology,750000,Medium,Medium,High,110511.32,Large,Low Risk
Retail,25000,Low,High,Low,1371.58,Small,High Risk
Fashion & Clothing,25000,High,Medium,Low,5667.47,Small,Medium Risk
Technology,300000,Medium,High,Low,33341.82,Large,High Risk
Retail,100000,Low,Medium,High,18920.6,Medium,Medium Risk
Technology,750000,Low,Medium,High,148615.29,Small,High Risk
Retail,500000,Medium,Medium,High,106011.34,Small,Medium Risk
Education,1500000,Medium,Low,Low,194035.15,Medium,High Risk
Services,100000,Medium,Medium,Low,16565.6,Medium,Medium Risk
Technology,500000,Medium,Low,Low,107260.06,Medium,Medium Risk
E-commerce,300000,Medium,High,Low,52373.43,Medium,High Risk
Education,100000,Medium,High,High,15326.01,Medium,Medium Risk
E-commerce,25000,Medium,Medium,Medium,2504.3,Medium,Medium Risk
Food & Beverage,2000000,Low,Medium,Medium,385838.37,Small,High Risk
Manufacturing,25000,High,High,Medium,4308.6,Large,Medium Risk
E-commerce,300000,Low,Medium,Low,20649.42,Medium,High Risk
Technology,200000,Low,Low,High,42276.52,Small,High Risk
Food & Beverage,2000000,High,High,Low,106121.82,Large,High Risk
Food & Beverage,25000,Medium,High,Medium,5969.46,Medium,Medium Risk
E-commerce,200000,Medium,Medium,Medium,28330.12,Large,Medium Risk
E-commerce,300000,Medium,High,Medium,27401.06,Small,High Risk
Fashion & Clothing,2000000,High,Medium,Low,298414.98,Medium,High Risk
Manufacturing,50000,Medium,High,Medium,10534.81,Small,Medium Risk
Fashion & Clothing,100000,High,Medium,Medium,20528.26,Large,Medium Risk
Technology,300000,Low,High,Medium,29294.17,Medium,High Risk
Fashion & Clothing,1500000,Medium,High,Medium,78251.3,Small,High Risk
E-commerce,1500000,Medium,High,High,247031.37,Large,High Risk
Manufacturing,200000,High,High,Low,47237.16,Medium,High Risk
Education,2000000,Medium,High,Medium,146826.81,Small,High Risk
Manufacturing,500000,Low,High,Low,107186.01,Medium,High Risk
Food & Beverage,300000,Medium,Low,Medium,66788.31,Medium,Medium Risk
Manufacturing,500000,High,Low,Low,68445.18,Small,Medium Risk
Manufacturing,50000,Medium,Low,Low,3675.26,Small,Medium Risk
Services,1500000,Medium,Medium,High,142078.75,Medium,High Risk
Food & Beverage,300000,Low,High,High,30179.41,Large,High Risk
Retail,25000,High,Medium,Medium,4171.57,Large,Low Risk
Retail,2000000,High,High,Medium,348053.04,Medium,High Risk
Food & Beverage,50000,Medium,Medium,Low,7032.41,Large,Medium Risk
Retail,1500000,Medium,High,Medium,123785.08,Medium,High Risk
Retail,50000,Low,High,Medium,4148.34,Small,Medium Risk
Technology,25000,Medium,High,Medium,4997.89,Small,Medium Risk
E-commerce,25000,Low,Low,Medium,3921.73,Small,High Risk
Technology,100000,Medium,High,High,21992.95,Small,Medium Risk
Retail,100000,Medium,Low,High,20139.98,Medium,Low Risk
Services,1000000,Low,Medium,Medium,216274.3,Medium,High Risk
Manufacturing,1500000,Medium,Medium,Medium,310400.48,Medium,High Risk
Food & Beverage,100000,High,Medium,High,17161.76,Medium,Low Risk
Education,50000,Medium,Medium,High,6465.43,Large,Low Risk
Food & Beverage,100000,High,High,Medium,21841.83,Small,Medium Risk
Food & Beverage,500000,Medium,Medium,Medium,49014.56,Large,Low Risk
Education,1500000,Medium,Medium,Medium,284300.27,Small,High Risk
Manufacturing,50000,Medium,Low,High,5950.83,Medium,Low Risk
Manufacturing,500000,Low,Low,Medium,45633.37,Medium,Medium Risk
E-commerce,1500000,Low,Medium,Medium,228497.1,Large,High Risk
Education,25000,Medium,High,Medium,2172.61,Large,Medium Risk
Technology,2000000,High,Medium,Medium,124936.55,Large,Medium Risk
Fashion & Clothing,100000,High,High,Medium,15642.27,Small,Medium Risk
E-commerce,1500000,High,Low,Medium,327213.0,Medium,Medium Risk
Food & Beverage,1500000,High,Medium,Medium,311751.37,Small,High Risk
Technology,50000,Medium,Medium,Medium,6287.73,Small,Medium Risk
Technology,200000,Medium,Medium,Medium,49460.61,Small,Medium Risk
Fashion & Clothing,200000,High,Low,High,12226.14,Small,Low Risk
Education,100000,Medium,Medium,High,7240.78,Medium,Medium Risk
Education,500000,High,Medium,Medium,107086.15,Medium,Medium Risk
Education,1000000,Medium,High,Low,243598.81,Large,High Risk
Services,25000,Medium,Medium,Medium,2021.81,Small,Medium Risk
E-commerce,100000,Low,Medium,Low,6267.5,Medium,High Risk
Retail,300000,Low,Low,Medium,51366.11,Large,Medium Risk
Technology,25000,High,High,Medium,5914.69,Large,Medium Risk
Technology,1000000,High,High,High,215026.54,Small,Medium Risk
Manufacturing,100000,High,Medium,Medium,22544.01,Small,Low Risk
Fashion & Clothing,100000,Medium,Medium,Medium,16549.73,Small,High Risk
Retail,750000,Medium,Low,Low,118927.4,Medium,High Risk
Fashion & Clothing,2000000,Low,High,Medium,313384.44,Large,High Risk
E-commerce,200000,High,High,Medium,41142.88,Small,High Risk
Food & Beverage,300000,High,Medium,High,21637.9,Small,Medium Risk
Fashion & Clothing,200000,Medium,High,Low,19170.06,Small,High Risk
E-commerce,200000,Medium,Medium,Low,17263.91,Medium,High Risk
Fashion & Clothing,500000,Low,Medium,Low,86495.03,Medium,High Risk
Retail,25000,Low,High,High,4075.67,Small,High Risk
Fashion & Clothing,300000,High,Low,Medium,51402.9,Medium,Low Risk
Food & Beverage,200000,Low,High,High,30753.52,Large,Medium Risk
Manufacturing,1500000,High,Low,High,256116.46,Large,Medium Risk
E-commerce,500000,Medium,Medium,Medium,70221.79,Large,Low Risk
E-commerce,100000,Low,Medium,Low,5677.58,Small,High Risk
Technology,2000000,Low,High,Low,484428.13,Small,High Risk
Services,500000,High,Medium,Low,54959.59,Small,Medium Risk
Fashion & Clothing,100000,Medium,Medium,Medium,12554.52,Large,Low Risk
Food & Beverage,25000,High,Medium,Medium,3453.81,Medium,Medium Risk
Services,25000,Medium,Low,High,2611.51,Large,Low Risk
Technology,50000,Medium,Low,Low,9659.72,Small,High Risk
E-commerce,1000000,Low,Medium,Medium,117854.25,Small,Medium Risk
E-commerce,100000,High,Low,Low,9863.44,Medium,Medium Risk
Fashion & Clothing,200000,High,Low,Medium,22959.6,Medium,Medium Risk
Education,2000000,Low,Low,Low,172574.17,Small,High Risk
Education,300000,Medium,Medium,Medium,50417.7,Small,Medium Risk
Manufacturing,500000,High,Medium,High,46951.05,Medium,Low Risk
Food & Beverage,1000000,High,Medium,Low,146955.67,Small,High Risk
Technology,1500000,Medium,Medium,Low,116806.82,Large,Medium Risk
Manufacturing,50000,Medium,Low,High,3677.51,Small,Low Risk
Technology,50000,Medium,High,High,4564.21,Medium,Medium Risk
Education,500000,High,Medium,Medium,74427.39,Medium,Medium Risk
Manufacturing,25000,Medium,Medium,Medium,1484.83,Medium,Medium Risk
Services,100000,Low,Medium,Low,12113.45,Small,High Risk
E-commerce,750000,Medium,High,Medium,180613.04,Medium,High Risk
Services,200000,Low,High,High,48209.45,Large,High Risk
Food & Beverage,1500000,High,Low,Low,293456.63,Small,High Risk
Retail,750000,Low,Low,Low,182654.91,Medium,High Risk
Food & Beverage,100000,Medium,High,High,20800.27,Small,Medium Risk
Technology,1000000,High,Medium,High,194820.67,Medium,Medium Risk
Fashion & Clothing,1500000,High,Medium,Medium,90478.74,Medium,High Risk
Technology,300000,High,Low,Low,40305.76,Small,Medium Risk
Food & Beverage,200000,High,Medium,High,11480.31,Large,Medium Risk
Manufacturing,50000,High,Medium,Medium,6544.85,Large,Low Risk
Education,1000000,Medium,High,Low,175178.28,Small,High Risk
Education,100000,High,Low,High,15578.74,Large,Low Risk
E-commerce,750000,Low,Low,Low,43139.52,Small,High Risk
Retail,2000000,Low,Medium,Medium,392908.72,Small,High Risk
E-commerce,1000000,Medium,Medium,Low,58418.64,Small,High Risk
Services,2000000,High,Medium,Medium,492932.21,Large,Medium Risk
Technology,1000000,Medium,Medium,Low,248233.73,Large,High Risk
Technology,300000,High,Low,Low,38045.44,Small,Medium Risk
Retail,2000000,High,Medium,Low,487641.05,Small,High Risk
Retail,2000000,Medium,Medium,High,458974.46,Large,Medium Risk
Technology,1000000,High,Low,High,222025.36,Large,Low Risk
Services,1500000,Low,High,Low,173715.41,Small,High Risk
Manufacturing,50000,Medium,Medium,Low,9734.2,Medium,High Risk
Fashion & Clothing,300000,High,Low,High,45964.74,Large,Low Risk
Food & Beverage,100000,Medium,High,Medium,10340.57,Medium,High Risk
Services,25000,Low,Low,Low,2443.45,Small,High Risk
Food & Beverage,200000,Medium,High,Low,45234.83,Medium,High Risk
Food & Beverage,2000000,High,Low,High,100448.04,Medium,Low Risk
Technology,750000,Low,Low,Low,121476.65,Large,High Risk
E-commerce,750000,Medium,High,Low,132393.28,Medium,High Risk
Manufacturing,500000,High,High,Low,55096.36,Small,High Risk
Technology,25000,Low,Low,High,6200.74,Large,Medium Risk
Manufacturing,200000,Medium,Medium,Medium,12625.05,Small,Medium Risk
E-commerce,2000000,Low,Low,Medium,477721.45,Large,Medium Risk
Manufacturing,1500000,Low,High,Medium,141230.88,Medium,High Risk
E-commerce,100000,High,Low,Medium,23872.32,Small,Medium Risk
E-commerce,200000,Medium,Medium,High,26373.36,Medium,Medium Risk
Fashion & Clothing,25000,High,Medium,High,3616.05,Medium,Low Risk
Retail,25000,Low,Low,Medium,3901.77,Large,Low Risk
Manufacturing,1000000,High,Medium,High,146304.47,Medium,Medium Risk
Education,25000,Medium,Low,Medium,2377.7,Large,Low Risk
Food & Beverage,1000000,Medium,High,Low,142919.72,Medium,High Risk
Fashion & Clothing,50000,Medium,Medium,Low,9449.82,Small,High Risk
Retail,25000,Low,Medium,Low,3661.78,Small,High Risk
Food & Beverage,1000000,Low,Medium,Medium,67573.3,Small,High Risk
Technology,750000,Low,High,High,43677.52,Small,High Risk
Fashion & Clothing,100000,High,Medium,Medium,17258.88,Small,Medium Risk
Food & Beverage,200000,Medium,High,Low,45792.67,Medium,High Risk
Food & Beverage,500000,Medium,Medium,Medium,98158.95,Large,Medium Risk
Services,1500000,High,Low,High,176068.74,Small,Medium Risk
Education,300000,High,Medium,Medium,58152.11,Medium,Medium Risk
E-commerce,100000,Low,Medium,Low,13368.0,Large,Medium Risk
Retail,750000,Medium,High,Medium,148905.98,Small,High Risk
Services,1000000,Medium,Medium,Medium,55878.89,Medium,Medium Risk
Fashion & Clothing,200000,High,High,Medium,21073.11,Large,Medium Risk
E-commerce,50000,Medium,High,Low,9658.25,Medium,Medium Risk
Education,2000000,Low,High,Low,441754.04,Small,High Risk
Manufacturing,1000000,Medium,High,Low,180424.65,Small,High Risk
Retail,50000,High,Low,Medium,8487.14,Small,Low Risk
Food & Beverage,100000,Medium,Medium,Medium,18387.81,Small,Medium Risk
Retail,300000,Low,Medium,Medium,25022.51,Small,Medium Risk
Services,300000,High,High,Medium,66852.97,Medium,High Risk
Services,200000,Medium,Low,Medium,47464.23,Small,Medium Risk
Manufacturing,300000,Low,Low,Medium,56292.47,Small,High Risk
Food & Beverage,1000000,High,Low,Low,244619.55,Large,Medium Risk
Food & Beverage,750000,High,Low,Low,83689.49,Medium,Low Risk
Food & Beverage,750000,Low,Low,Medium,60924.58,Medium,High Risk
Food & Beverage,25000,High,High,Medium,3735.87,Small,Medium Risk
Food & Beverage,1000000,High,High,Low,209102.07,Small,High Risk
Technology,300000,High,Medium,Low,24557.25,Medium,Medium Risk
Education,1500000,High,High,High,102144.51,Large,Medium Risk
Manufacturing,500000,Medium,High,High,101228.51,Small,High Risk
Education,100000,High,Medium,Low,17981.49,Small,Medium Risk
Education,300000,Medium,Medium,Medium,47741.21,Large,Medium Risk
Services,500000,Low,Medium,Medium,86949.03,Medium,High Risk
Fashion & Clothing,50000,Medium,Low,Low,6301.96,Medium,Medium Risk
Fashion & Clothing,300000,Low,Medium,Medium,47964.85,Medium,High Risk
E-commerce,100000,Low,High,Medium,7028.42,Small,High Risk
