age,income,purchase_frequency,spending_amount
27,19784.58,1,962.02
27,16080.77,3,523.87
41,54112.17,7,3571.77
36,114575.61,8,9113.76
58,123236.9,6,36282.36
24,28636.93,2,1173.24
44,50070.4,3,2401.9
37,41171.54,5,3106.06
32,39419.84,3,3104.2
28,39306.28,4,3481.4
26,42562.72,4,5625.69
20,22559.33,3,1451.57
40,30042.81,6,4837.58
39,52100.23,7,4731.66
21,24736.78,1,1802.8
25,24888.5,2,696.67
33,32867.95,7,4729.81
40,39012.57,7,5805.34
18,26623.51,3,1189.04
20,26673.2,3,795.76
45,242084.48,7,36891.79
24,26951.41,2,1762.44
42,64155.12,4,13315.47
36,52133.98,6,5284.91
42,70705.55,9,14456.33
29,24116.56,1,1912.71
18,23712.71,2,1697.12
39,35085.71,5,4735.09
31,46516.29,4,5900.56
18,29766.99,2,796.3
43,55360.35,5,2659.59
33,34941.5,7,3851.55
35,54650.7,4,3446.47
18,15347.86,2,991.42
29,18228.12,1,1385.52
43,246907.8,7,23501.7
18,26571.64,1,1025.9
21,23195.05,1,1866.07
18,19856.98,1,773.86
47,91260.85,8,8853.39
30,106207.1,5,9405.39
24,27421.4,3,1685.25
22,21766.18,3,1910.85
52,82950.67,9,10845.83
41,52344.71,7,4414.24
24,25680.73,1,1960.21
44,197172.85,13,18707.37
23,24547.54,3,777.34
30,74783.62,8,6827.14
37,206039.95,10,21537.98
37,97773.01,9,10486.25
43,109636.58,5,8604.36
35,47068.47,6,5387.63
33,33662.83,7,2397.39
25,38142.1,6,4170.53
41,46416.9,6,4229.27
40,31769.19,7,4331.18
25,40111.03,5,2462.86
23,20563.12,2,1407.3
29,56669.66,5,3727.12
21,21344.5,3,1107.9
20,18324.55,2,747.47
41,84818.94,6,10771.85
20,20373.38,1,1285.56
18,19142.64,1,741.8
18,17952.07,1,1456.19
51,147922.42,12,38453.37
40,59976.25,5,2263.87
58,235925.35,9,30234.67
44,50880.86,6,2391.15
20,20095.91,2,1749.31
24,18893.57,1,1663.22
22,21330.02,1,1295.68
34,113578.62,4,7671.35
35,126754.4,11,31165.3
50,80572.51,6,10376.1
35,100204.66,8,13549.16
57,229540.02,9,27763.85
41,45376.41,3,4442.47
27,54988.2,5,3688.7
34,34824.77,5,2010.5
50,156487.05,6,18680.75
29,41786.59,6,4900.08
21,24601.07,3,623.32
39,37971.01,7,3883.55
41,245051.7,14,17440.59
53,201363.0,7,34514.54
41,80025.17,6,9007.69
54,86231.8,4,6205.17
23,29788.16,2,1971.79
18,21015.13,2,551.67
28,54071.78,7,5967.23
25,22315.88,3,1485.06
23,20954.59,3,1872.8
52,149271.3,7,16217.31
43,234371.22,11,38882.01
26,36601.45,3,5619.71
42,74920.91,9,13452.15
34,36709.16,6,5394.7
25,29243.65,1,877.42
41,31954.8,7,4699.32
26,17504.78,3,1783.2
49,227601.04,14,23132.68
27,16333.6,2,1088.06
25,26981.44,3,1363.04
54,69838.94,8,13002.15
27,15909.67,3,806.38
21,26947.99,1,1052.78
29,55516.17,4,4901.09
38,56035.49,6,4414.61
52,167530.88,10,37849.62
37,182230.83,12,28904.28
19,23984.49,3,1134.24
42,35144.03,3,5824.72
55,125430.16,12,36592.81
44,30000.2,4,3292.04
18,21040.01,3,1292.33
25,42958.37,3,2906.16
28,18438.07,3,1052.61
30,111762.24,4,11879.87
49,230317.35,7,37731.76
59,154253.68,8,15385.81
25,27377.2,2,1082.4
40,241492.21,7,16655.45
38,51559.66,6,2999.85
25,35363.4,6,2646.1
37,46920.11,5,2496.68
37,80097.72,9,14453.47
24,26003.37,3,1584.44
38,87268.93,4,8209.62
35,162226.46,9,34826.9
29,19710.37,3,1398.71
24,16011.79,2,1129.14
42,182027.17,13,35942.56
25,22599.83,1,1747.35
44,208850.72,14,21410.46
18,28645.27,3,1118.09
44,50463.62,5,5119.36
41,64196.34,4,7385.36
20,18388.99,3,1514.65
28,26284.43,3,1600.67
45,153840.42,14,16364.44
39,119043.06,5,8222.65
28,20125.62,1,1426.64
26,19611.74,1,501.04
39,136970.45,6,35004.82
21,23596.98,3,1701.27
27,33875.56,3,2247.73
42,48879.36,7,2688.91
49,163190.87,12,27825.18
32,43799.62,6,3222.06
29,51009.66,3,4521.49
33,54642.48,4,2969.26
41,65122.48,5,8095.42
42,217090.11,12,23486.34
39,140048.29,10,27729.88
32,100174.87,8,9447.73
19,20796.17,1,585.71
50,158354.61,12,35844.68
18,29057.25,3,779.03
40,45974.24,3,3781.03
34,91332.28,9,7387.96
33,53043.83,3,4893.87
42,197482.38,11,34353.51
26,56578.85,5,5309.24
39,41438.45,5,4546.53
28,19968.97,2,1086.88
36,37294.81,5,4304.1
42,72958.15,7,10772.55
35,233815.01,9,22353.08
54,74143.09,6,12263.26
23,26709.52,3,1147.41
21,27285.45,2,1454.49
38,66145.18,8,13936.29
28,52842.37,4,5123.8
39,36168.75,6,5733.04
42,89129.6,4,10099.8
27,15895.94,2,1448.23
38,186369.24,12,34111.62
52,78694.61,9,11772.68
41,36599.68,4,5206.66
49,86087.69,6,7785.22
38,92694.37,9,13845.12
34,57092.06,5,3174.98
18,22084.13,3,1757.85
19,27852.6,1,1599.0
47,98121.85,5,10647.89
30,92929.02,4,6264.61
22,19232.2,2,1188.67
31,49524.26,7,4213.94
46,86078.97,9,9337.92
40,41785.92,4,2567.59
40,51037.7,6,5657.98
33,59147.31,3,5403.9
43,111421.41,6,12756.57
20,16579.41,3,1080.06
42,53356.35,3,5462.54
39,50175.93,5,4347.58
44,46370.34,4,4888.7
50,161516.7,8,16485.49
52,100486.69,7,9756.27
25,27341.56,2,1330.16
28,23287.12,1,1931.52
57,171660.22,14,34170.86
19,29056.42,2,1985.42
30,78055.1,4,11747.69
45,140922.22,8,38887.65
28,18598.14,2,1038.4
35,51003.41,5,3184.36
31,57588.91,4,2406.9
27,52249.43,6,2703.94
39,36034.48,3,4214.29
40,45363.26,7,2193.43
29,28422.25,3,1972.88
40,87876.71,7,6828.7
22,21324.32,1,913.44
32,111606.7,7,10227.75
50,113991.9,7,12651.63
34,48012.7,7,3381.07
51,246801.19,7,23164.3
43,51050.69,6,3402.25
50,143048.4,14,22801.13
49,95800.95,4,6179.04
26,22892.29,2,1730.63
27,59227.16,5,4768.12
37,53724.95,3,2506.6
31,67548.49,5,7917.21
38,67044.96,7,11710.47
29,27908.99,3,1393.56
43,59274.34,3,3097.09
32,55438.01,3,5619.19
25,26545.46,3,958.62
47,106009.81,9,6362.91
31,34526.26,3,4671.86
36,145124.09,10,21168.04
43,44991.06,6,3720.81
32,46894.65,6,3398.99
35,110651.2,6,8579.74
31,103597.04,6,7986.88
44,105753.93,5,7041.61
41,57279.51,7,4291.9
52,101749.03,9,14427.14
29,21575.28,2,698.81
28,56762.53,3,3325.9
25,55680.24,3,4275.51
18,20496.67,2,1426.06
47,190928.43,9,15958.57
27,15733.88,2,536.77
29,17812.42,3,874.7
21,17317.61,3,1057.09
25,28851.9,3,675.24
42,69783.76,6,6055.21
46,60065.52,7,12418.36
43,37315.02,7,4292.71
35,77273.77,4,7910.48
20,18236.86,1,747.31
44,210615.15,6,22032.93
42,56993.69,5,2993.58
25,40930.09,5,5072.7
24,23287.26,3,1241.58
36,103052.92,7,9335.63
50,143029.33,12,28329.73
38,136777.49,12,21060.35
18,27113.73,3,1355.12
45,203641.56,7,38375.3
50,64377.06,6,11567.16
50,197192.96,7,21650.29
19,23340.45,2,1138.93
33,39351.34,5,2168.09
53,101976.97,6,10750.11
28,18989.09,3,901.73
48,140342.7,11,25444.7
22,23670.78,3,659.79
27,54621.72,4,4644.61
28,50193.5,3,5429.8
25,29469.78,3,1662.1
20,28991.32,1,732.03
26,30597.67,6,5568.43
19,15366.66,1,1010.19
34,43299.47,3,2760.71
28,24171.1,2,917.89
43,97310.47,8,9358.01
34,47961.39,3,4256.4
30,54606.9,4,5946.57
30,54832.71,3,3580.09
53,215318.06,9,36874.02
33,55387.88,5,4859.76
30,45066.76,7,4958.99
22,29404.43,2,1300.35
47,119860.52,9,11715.59
20,23133.89,3,885.57
36,51698.21,7,5495.62
30,42521.99,6,2700.7
41,105148.15,9,12227.3
20,25247.45,1,1371.85
29,29096.07,1,1411.87
23,24991.08,2,1643.56
23,27272.53,3,1101.42
57,192272.0,14,22943.78
58,182313.44,11,19804.27
